员工ID,姓名,部门,职级,入职日期,月薪,绩效分,在职
EMP0058,员工58,市场,初级,2024-04-13,9679,82.3,True
EMP0059,员工59,财务,初级,2021-05-28,38445,74.5,True
EMP0060,员工60,销售,中级,2018-12-23,40580,91.0,True
EMP0061,员工61,研发,中级,2024-10-25,24364,78.0,True
EMP0062,员工62,人事,中级,2020-05-01,43195,80.6,True
EMP0063,员工63,市场,高级,2020-08-14,46155,84.4,False
EMP0064,员工64,财务,初级,2018-10-12,11373,78.9,True
EMP0065,员工65,市场,中级,2020-01-24,36761,88.8,True
EMP0066,员工66,市场,初级,2019-02-22,11267,75.4,True
EMP0067,员工67,财务,资深,2022-07-08,15543,88.1,True
EMP0068,员工68,研发,中级,2023-03-08,25506,86.3,True
EMP0069,员工69,研发,高级,2020-09-04,31190,95.5,True
EMP0070,员工70,运维,资深,2020-05-22,22397,75.6,True
EMP0071,员工71,运维,初级,2019-12-30,47954,83.2,False
EMP0072,员工72,销售,中级,2020-04-30,29364,78.7,True
EMP0073,员工73,研发,中级,2019-01-31,29972,87.7,True
EMP0074,员工74,财务,中级,2023-11-27,19174,86.7,False
EMP0075,员工75,财务,高级,2019-09-26,16924,71.7,True
EMP0076,员工76,人事,资深,2020-08-11,9542,76.8,True
EMP0077,员工77,销售,中级,2021-04-06,31322,75.3,True
EMP0078,员工78,财务,中级,2024-07-14,49459,82.3,True
EMP0079,员工79,财务,高级,2018-08-05,43909,78.4,True
EMP0080,员工80,市场,初级,2024-01-24,36178,98.6,True
EMP0081,员工81,财务,中级,2018-06-22,11709,83.2,True
EMP0082,员工82,人事,专家,2023-06-20,41982,71.7,True
EMP0083,员工83,研发,初级,2020-04-03,10105,82.2,True
EMP0084,员工84,市场,专家,2021-06-04,14190,80.1,True
EMP0085,员工85,研发,中级,2022-03-30,48821,94.4,False
EMP0086,员工86,运维,中级,2021-09-15,8667,73.0,True
EMP0087,员工87,人事,中级,2021-02-19,44487,90.3,True
EMP0088,员工88,人事,专家,2018-02-10,48080,61.9,True
EMP0089,员工89,人事,中级,2023-07-30,39471,87.4,True
EMP0090,员工90,销售,中级,2020-03-08,45892,94.8,True
EMP0091,员工91,运维,高级,2022-12-30,16415,73.8,True
EMP0092,员工92,财务,初级,2019-11-20,18344,94.4,True
EMP0093,员工93,财务,初级,2019-01-20,37189,83.4,True
EMP0094,员工94,财务,高级,2021-12-31,12809,99.1,True
EMP0095,员工95,财务,中级,2021-03-14,46765,71.5,True
EMP0096,员工96,研发,高级,2019-03-25,34657,70.6,True
EMP0097,员工97,销售,中级,2022-04-24,36538,89.4,False
EMP0098,员工98,研发,中级,2020-02-02,27198,74.3,True
EMP0099,员工99,财务,中级,2021-06-06,34698,75.7,True
EMP0100,员工100,销售,中级,2021-08-22,33934,76.6,True
EMP0101,员工101,销售,中级,2019-03-23,39703,77.4,True
EMP0102,员工102,财务,高级,2023-10-30,27856,85.3,True
EMP0103,员工103,财务,专家,2023-02-19,22388,68.5,True
EMP0104,员工104,研发,中级,2023-03-22,23183,74.0,True
EMP0105,员工105,人事,初级,2023-04-20,49240,79.4,True
EMP0106,员工106,财务,初级,2023-05-24,31954,89.6,True
EMP0107,员工107,人事,中级,2022-01-29,31061,65.7,True
EMP0108,员工108,销售,高级,2021-01-06,31624,78.1,True
EMP0109,员工109,研发,高级,2023-09-26,27262,81.8,True
EMP0110,员工110,运维,初级,2018-02-25,36699,80.4,True
EMP0111,员工111,销售,初级,2018-12-31,13126,88.7,True
EMP0112,员工112,财务,资深,2022-03-12,31333,84.7,True
EMP0113,员工113,研发,高级,2021-04-30,18267,73.5,True
EMP0114,员工114,财务,中级,2024-01-02,15561,69.2,True
EMP0115,员工115,销售,初级,2023-11-27,34069,95.2,True
EMP0116,员工116,财务,中级,2024-10-08,42529,85.4,True
EMP0117,员工117,财务,中级,2024-06-20,36024,76.4,True
EMP0118,员工118,人事,资深,2022-03-07,18589,77.6,True
EMP0119,员工119,市场,中级,2021-03-06,12324,83.9,True
EMP0120,员工120,运维,初级,2019-10-08,26935,79.2,True
EMP0121,员工121,销售,中级,2022-01-04,21703,92.4,True
EMP0122,员工122,运维,高级,2021-12-04,44976,79.1,True
EMP0123,员工123,销售,高级,2023-08-11,9828,87.6,True
EMP0124,员工124,研发,中级,2024-04-25,8009,80.1,True
EMP0125,员工125,人事,初级,2022-08-01,13287,74.0,True
EMP0126,员工126,运维,中级,2023-06-18,36253,87.6,True
EMP0127,员工127,运维,高级,2022-05-24,9908,81.7,True
EMP0128,员工128,研发,高级,2022-04-20,13951,80.9,True
EMP0129,员工129,财务,初级,2020-05-22,31325,75.6,True
EMP0130,员工130,销售,资深,2018-03-19,24984,84.6,True
EMP0131,员工131,销售,高级,2023-11-07,17510,85.5,True
EMP0132,员工132,研发,初级,2023-03-04,42016,83.0,True
EMP0133,员工133,财务,资深,2023-06-21,12018,57.1,True
EMP0134,员工134,销售,初级,2021-04-17,23374,94.3,True
EMP0135,员工135,人事,高级,2021-08-05,8922,75.1,True
EMP0136,员工136,研发,初级,2020-08-08,27029,84.0,True
EMP0137,员工137,市场,高级,2019-06-01,31710,72.2,True
EMP0138,员工138,财务,中级,2023-08-25,22382,58.0,True
EMP0139,员工139,市场,中级,2018-05-10,47666,97.1,True
EMP0140,员工140,市场,专家,2022-08-11,18789,85.2,True
EMP0141,员工141,销售,资深,2023-09-02,10443,77.3,True
EMP0142,员工142,人事,高级,2018-12-22,46727,75.6,True
EMP0143,员工143,销售,初级,2019-08-27,28530,81.8,False
EMP0144,员工144,研发,初级,2021-12-01,44244,81.0,True
EMP0145,员工145,运维,高级,2024-10-03,43840,80.6,True
EMP0146,员工146,研发,初级,2021-08-25,47224,90.9,True
EMP0147,员工147,市场,中级,2020-07-25,42393,77.7,True
EMP0148,员工148,市场,中级,2019-02-22,49914,86.3,True
EMP0149,员工149,运维,初级,2021-04-17,9990,90.4,True
EMP0150,员工150,销售,高级,2024-01-13,12944,73.0,False
EMP0151,员工151,人事,中级,2019-11-20,39195,66.6,True
EMP0152,员工152,财务,中级,2022-10-26,10482,81.5,True
EMP0153,员工153,运维,初级,2019-12-24,35952,79.7,True
EMP0154,员工154,研发,高级,2023-08-28,36865,74.6,True
EMP0155,员工155,销售,中级,2021-02-10,33522,76.6,True
EMP0156,员工156,销售,初级,2020-03-10,18093,76.3,True
EMP0157,员工157,人事,高级,2023-11-05,27846,79.1,True
EMP0158,员工158,市场,中级,2023-07-01,16519,80.3,True
EMP0159,员工159,销售,高级,2021-07-11,29591,87.1,True
EMP0160,员工160,人事,高级,2019-03-28,29389,84.4,True
EMP0161,员工161,销售,初级,2020-08-01,24032,83.3,True
EMP0162,员工162,研发,高级,2019-05-29,30419,67.5,True
EMP0163,员工163,市场,中级,2021-11-10,22596,91.9,True
EMP0164,员工164,人事,初级,2020-12-12,25771,73.3,True
EMP0165,员工165,运维,中级,2023-10-08,45599,76.4,True
EMP0166,员工166,研发,初级,2018-08-25,25685,79.4,True
EMP0167,员工167,销售,中级,2023-08-14,19372,91.0,True
EMP0168,员工168,财务,高级,2023-12-16,39653,91.5,True
EMP0169,员工169,研发,中级,2022-08-28,20875,82.6,True
EMP0170,员工170,财务,初级,2023-08-03,19664,89.8,True
EMP0171,员工171,销售,中级,2019-12-03,28609,85.2,True
EMP0172,员工172,销售,初级,2021-10-26,32063,72.7,False
EMP0173,员工173,市场,资深,2018-07-06,31150,62.5,True
EMP0174,员工174,人事,初级,2022-10-29,32058,78.8,True
EMP0175,员工175,研发,高级,2019-04-27,9524,67.3,True
EMP0176,员工176,市场,中级,2018-03-02,21350,66.7,True
EMP0177,员工177,人事,高级,2021-06-06,27933,89.9,False
EMP0178,员工178,销售,高级,2020-11-06,28491,74.1,True
EMP0179,员工179,市场,高级,2018-08-04,19344,92.9,True
EMP0180,员工180,人事,初级,2021-01-17,33064,90.6,False
EMP0181,员工181,销售,中级,2018-02-16,49360,82.7,False
EMP0182,员工182,财务,高级,2018-12-01,19122,67.2,False
EMP0183,员工183,市场,资深,2022-03-02,14737,93.6,True
EMP0184,员工184,市场,中级,2021-03-28,21409,52.9,True
EMP0185,员工185,销售,高级,2021-04-09,20651,93.3,True
EMP0186,员工186,财务,中级,2020-07-09,36687,83.2,True
EMP0187,员工187,运维,中级,2021-02-05,8545,87.1,True
EMP0188,员工188,人事,初级,2020-03-24,16436,80.5,True
EMP0189,员工189,人事,专家,2018-09-29,45129,77.3,True
EMP0190,员工190,财务,中级,2023-08-13,40413,73.4,True
EMP0191,员工191,运维,中级,2018-05-26,33280,77.5,True
EMP0192,员工192,销售,高级,2024-02-13,49898,71.2,True
EMP0193,员工193,运维,中级,2020-03-17,37757,68.8,False
EMP0194,员工194,人事,高级,2022-05-14,46197,83.8,True
EMP0195,员工195,销售,初级,2021-10-21,25320,85.6,True
EMP0196,员工196,运维,专家,2022-12-02,19362,73.8,True
EMP0197,员工197,财务,初级,2022-11-12,26850,88.0,True
EMP0198,员工198,市场,初级,2018-06-09,15287,90.5,True
EMP0199,员工199,人事,中级,2024-07-04,25674,76.4,True
EMP0200,员工200,研发,资深,2021-05-03,36841,85.8,True
